"","sample","Family_ncbi","Order_ncbi","reads","Method","Island","Year","ID","Date.Collected","Size","Extract..Date","Sterilized","Source"
"81","HEV21","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",22.1,"3/14/18","NS","LAB"
"82","HEV21","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",22.1,"3/14/18","NS","LAB"
"83","HEV21","Gekkonidae","Squamata",92,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",22.1,"3/14/18","NS","LAB"
"84","HEV21","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",22.1,"3/14/18","NS","LAB"
"85","HEV22","Acrididae","Orthoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",22.6,"3/14/18","NS","LAB"
"86","HEV22","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",22.6,"3/14/18","NS","LAB"
"87","HEV22","Blaberidae","Blattodea",12,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",22.6,"3/14/18","NS","LAB"
"88","HEV22","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",22.6,"3/14/18","NS","LAB"
"89","HEV22","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",22.6,"3/14/18","NS","LAB"
"90","HEV22","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",22.6,"3/14/18","NS","LAB"
"91","HEV22","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",22.6,"3/14/18","NS","LAB"
"92","HEV23","Acrididae","Orthoptera",26,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.3,"3/14/18","NS","LAB"
"93","HEV23","Anisolabididae","Dermaptera",1,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.3,"3/14/18","NS","LAB"
"94","HEV23","Blaberidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.3,"3/14/18","NS","LAB"
"95","HEV23","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.3,"3/14/18","NS","LAB"
"96","HEV23","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.3,"3/14/18","NS","LAB"
"97","HEV23","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.3,"3/14/18","NS","LAB"
"98","HEV23","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.3,"3/14/18","NS","LAB"
"99","HEV24","Acrididae","Orthoptera",179,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.3,"3/14/18","NS","LAB"
"100","HEV24","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.3,"3/14/18","NS","LAB"
"101","HEV24","Blaberidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.3,"3/14/18","NS","LAB"
"102","HEV24","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.3,"3/14/18","NS","LAB"
"103","HEV24","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.3,"3/14/18","NS","LAB"
"104","HEV24","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.3,"3/14/18","NS","LAB"
"105","HEV24","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.3,"3/14/18","NS","LAB"
"106","HEV25","Acrididae","Orthoptera",68,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.6,"3/14/18","NS","LAB"
"107","HEV25","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.6,"3/14/18","NS","LAB"
"108","HEV25","Blaberidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.6,"3/14/18","NS","LAB"
"109","HEV25","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.6,"3/14/18","NS","LAB"
"110","HEV25","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.6,"3/14/18","NS","LAB"
"111","HEV25","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.6,"3/14/18","NS","LAB"
"112","HEV25","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.6,"3/14/18","NS","LAB"
"113","HEV26","Acrididae","Orthoptera",122,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.7,"3/14/18","NS","LAB"
"114","HEV26","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.7,"3/14/18","NS","LAB"
"115","HEV26","Blaberidae","Blattodea",3,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.7,"3/14/18","NS","LAB"
"116","HEV26","Blattidae","Blattodea",3,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.7,"3/14/18","NS","LAB"
"117","HEV26","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.7,"3/14/18","NS","LAB"
"118","HEV26","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.7,"3/14/18","NS","LAB"
"119","HEV26","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.7,"3/14/18","NS","LAB"
"120","HEV27","Acrididae","Orthoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",25.4,"3/14/18","SS","LAB"
"121","HEV27","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",25.4,"3/14/18","SS","LAB"
"122","HEV27","Blaberidae","Blattodea",51,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",25.4,"3/14/18","SS","LAB"
"123","HEV27","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",25.4,"3/14/18","SS","LAB"
"124","HEV27","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",25.4,"3/14/18","SS","LAB"
"125","HEV27","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",25.4,"3/14/18","SS","LAB"
"126","HEV27","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",25.4,"3/14/18","SS","LAB"
"127","HEV29","Acrididae","Orthoptera",20,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",27.5,"3/14/18","NS","LAB"
"128","HEV29","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",27.5,"3/14/18","NS","LAB"
"129","HEV29","Blaberidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",27.5,"3/14/18","NS","LAB"
"130","HEV29","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",27.5,"3/14/18","NS","LAB"
"131","HEV29","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",27.5,"3/14/18","NS","LAB"
"132","HEV29","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",27.5,"3/14/18","NS","LAB"
"133","HEV29","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",27.5,"3/14/18","NS","LAB"
